eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
-2.500   -2.000   10.0    20.0 8.2057416439e-01 2.3165805746e-02 2.3165805746e-02
-2.000   -1.566   10.0    20.0 8.2264959812e-01 1.8240538209e-02 1.8240538209e-02
-1.566   -1.444   10.0    20.0 1.0271186829e+00 6.8255289739e-02 6.8255289739e-02
-1.444   -0.800   10.0    20.0 9.5910781622e-01 5.0899959145e-02 5.0899959145e-02
-0.800    0.000   10.0    20.0 9.2202728987e-01 2.6763216799e-02 2.6763216799e-02
 0.000    0.800   10.0    20.0 9.3957114220e-01 2.6763216799e-02 2.6763216799e-02
 0.800    1.444   10.0    20.0 9.6648043394e-01 5.0899959145e-02 5.0899959145e-02
 1.444    1.566   10.0    20.0 9.9339932203e-01 6.8255289739e-02 6.8255289739e-02
 1.566    2.000   10.0    20.0 8.5365855694e-01 1.8240538209e-02 1.8240538209e-02
 2.000    2.500   10.0    20.0 8.1538462639e-01 2.3165805746e-02 2.3165805746e-02
-2.500   -2.000   20.0    35.0 9.1420120001e-01 8.2602303212e-03 8.2602303212e-03
-2.000   -1.566   20.0    35.0 9.4366198778e-01 1.2760049530e-02 1.2760049530e-02
-1.566   -1.444   20.0    35.0 1.0000000000e+00 1.7975911939e-01 1.7975911939e-01
-1.444   -0.800   20.0    35.0 9.5855617523e-01 1.1640126395e-02 1.1640126395e-02
-0.800    0.000   20.0    35.0 9.4616419077e-01 1.2594953354e-02 1.2594953354e-02
 0.000    0.800   20.0    35.0 9.7146737576e-01 1.2594953354e-02 1.2594953354e-02
 0.800    1.444   20.0    35.0 9.7297298908e-01 1.1640126395e-02 1.1640126395e-02
 1.444    1.566   20.0    35.0 9.6626985073e-01 1.7975911939e-01 1.7975911939e-01
 1.566    2.000   20.0    35.0 9.3049645424e-01 1.2760049530e-02 1.2760049530e-02
 2.000    2.500   20.0    35.0 8.9127326012e-01 8.2602303212e-03 8.2602303212e-03
-2.500   -2.000   35.0    50.0 9.5591938496e-01 7.5519037335e-03 7.5519037335e-03
-2.000   -1.566   35.0    50.0 9.7936892509e-01 5.8688618129e-03 5.8688618129e-03
-1.566   -1.444   35.0    50.0 9.8565280437e-01 1.2664141742e-02 1.2664141742e-02
-1.444   -0.800   35.0    50.0 9.6976745129e-01 4.4406840267e-03 4.4406840267e-03
-0.800    0.000   35.0    50.0 9.5672512054e-01 4.0327380002e-03 4.0327380002e-03
 0.000    0.800   35.0    50.0 9.7988164425e-01 4.0327380002e-03 4.0327380002e-03
 0.800    1.444   35.0    50.0 9.7660821676e-01 4.4406840267e-03 4.4406840267e-03
 1.444    1.566   35.0    50.0 9.7000002861e-01 1.2664141742e-02 1.2664141742e-02
 1.566    2.000   35.0    50.0 9.7342997789e-01 5.8688618129e-03 5.8688618129e-03
 2.000    2.500   35.0    50.0 9.4292801619e-01 7.5519037335e-03 7.5519037335e-03
-2.500   -2.000   50.0    90.0 9.7494035959e-01 5.6557054987e-03 5.6557054987e-03
-2.000   -1.566   50.0    90.0 9.9190753698e-01 5.0663766671e-03 5.0663766671e-03
-1.566   -1.444   50.0    90.0 9.8783785105e-01 1.4144166810e-02 1.4144166810e-02
-1.444   -0.800   50.0    90.0 9.7212934494e-01 1.2475375943e-02 1.2475375943e-02
-0.800    0.000   50.0    90.0 9.5842695236e-01 1.1093666123e-02 1.1093666123e-02
 0.000    0.800   50.0    90.0 9.7956866026e-01 1.1093666123e-02 1.1093666123e-02
 0.800    1.444   50.0    90.0 9.8202246428e-01 1.2475375943e-02 1.2475375943e-02
 1.444    1.566   50.0    90.0 9.8639458418e-01 1.4221136924e-02 1.4221136924e-02
 1.566    2.000   50.0    90.0 9.8500579596e-01 5.0663766671e-03 5.0663766671e-03
 2.000    2.500   50.0    90.0 9.6709752083e-01 5.4905970962e-03 5.4905970962e-03
-2.500   -2.000   90.0   150.0 1.0407450199e+00 2.9674874553e-02 2.9674874553e-02
-2.000   -1.566   90.0   150.0 1.0180586576e+00 1.1225272589e-02 1.1225272589e-02
-1.566   -1.444   90.0   150.0 1.0866141319e+00 3.5429465058e-02 3.5429465058e-02
-1.444   -0.800   90.0   150.0 9.9336284399e-01 8.3798882682e-03 8.3798882682e-03
-0.800    0.000   90.0   150.0 9.8558759689e-01 1.0382434668e-02 1.0382434668e-02
 0.000    0.800   90.0   150.0 1.0180382729e+00 1.0382434668e-02 1.0382434668e-02
 0.800    1.444   90.0   150.0 1.0180586576e+00 8.3798882682e-03 8.3798882682e-03
 1.444    1.566   90.0   150.0 1.0156047344e+00 3.5289203551e-02 3.5289203551e-02
 1.566    2.000   90.0   150.0 9.9775028229e-01 1.1225272589e-02 1.1225272589e-02
 2.000    2.500   90.0   150.0 1.0152224302e+00 2.9674874553e-02 2.9674874553e-02
-2.500   -2.000  150.0   500.0 1.0407450199e+00 2.9866210560e-02 2.9866210560e-02
-2.000   -1.566  150.0   500.0 1.0180586576e+00 1.1721736142e-02 1.1721736142e-02
-1.566   -1.444  150.0   500.0 1.0866141319e+00 3.5589877041e-02 3.5589877041e-02
-1.444   -0.800  150.0   500.0 9.9336284399e-01 9.0340954648e-03 9.0340954648e-03
-0.800    0.000  150.0   500.0 9.8558759689e-01 1.0917293763e-02 1.0917293763e-02
 0.000    0.800  150.0   500.0 1.0180382729e+00 1.0917293763e-02 1.0917293763e-02
 0.800    1.444  150.0   500.0 1.0180586576e+00 9.0340954648e-03 9.0340954648e-03
 1.444    1.566  150.0   500.0 1.0156047344e+00 3.5450250221e-02 3.5450250221e-02
 1.566    2.000  150.0   500.0 9.9775028229e-01 1.1721736142e-02 1.1721736142e-02
 2.000    2.500  150.0   500.0 1.0152224302e+00 2.9866210560e-02 2.9866210560e-02
