eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
-2.500   -2.000   10.0    20.0 8.0655735731e-01 1.8019629054e-02 1.8019629054e-02
-2.000   -1.566   10.0    20.0 8.2857143879e-01 1.8279061619e-02 1.8279061619e-02
-1.566   -1.444   10.0    20.0 1.0328638554e+00 1.0627896935e-01 1.0627896935e-01
-1.444   -0.800   10.0    20.0 1.0077519417e+00 2.7266328323e-02 2.7266328323e-02
-0.800    0.000   10.0    20.0 9.4072163105e-01 2.5740959221e-02 2.5740959221e-02
 0.000    0.800   10.0    20.0 9.4587630033e-01 2.5740959221e-02 2.5740959221e-02
 0.800    1.444   10.0    20.0 9.8976981640e-01 2.7266328323e-02 2.7266328323e-02
 1.444    1.566   10.0    20.0 1.0339806080e+00 1.0627896935e-01 1.0627896935e-01
 1.566    2.000   10.0    20.0 8.2748538256e-01 1.8279061619e-02 1.8279061619e-02
 2.000    2.500   10.0    20.0 7.9701495171e-01 1.8019629054e-02 1.8019629054e-02
-2.500   -2.000   20.0    35.0 8.8245934248e-01 1.0119825944e-02 1.0119825944e-02
-2.000   -1.566   20.0    35.0 9.2748737335e-01 1.7626091872e-02 1.7626091872e-02
-1.566   -1.444   20.0    35.0 1.0075949430e+00 1.0991269986e-01 1.0991269986e-01
-1.444   -0.800   20.0    35.0 9.7203946114e-01 1.3293087796e-02 1.3293087796e-02
-0.800    0.000   20.0    35.0 9.5299839973e-01 1.5081644281e-02 1.5081644281e-02
 0.000    0.800   20.0    35.0 9.8199671507e-01 1.5081644281e-02 1.5081644281e-02
 0.800    1.444   20.0    35.0 9.7520661354e-01 1.3293087796e-02 1.3293087796e-02
 1.444    1.566   20.0    35.0 9.7487437725e-01 1.0991269986e-01 1.0991269986e-01
 1.566    2.000   20.0    35.0 9.0893763304e-01 1.7626091872e-02 1.7626091872e-02
 2.000    2.500   20.0    35.0 8.6332178116e-01 1.0119825944e-02 1.0119825944e-02
-2.500   -2.000   35.0    50.0 9.1884058714e-01 9.0390825899e-03 9.0390825899e-03
-2.000   -1.566   35.0    50.0 9.6698760986e-01 7.3030630999e-03 7.3030630999e-03
-1.566   -1.444   35.0    50.0 9.8819559813e-01 1.6687060271e-02 1.6687060271e-02
-1.444   -0.800   35.0    50.0 9.7466665506e-01 6.8683323155e-03 6.8683323155e-03
-0.800    0.000   35.0    50.0 9.5345747471e-01 4.7298112454e-03 4.7298112454e-03
 0.000    0.800   35.0    50.0 9.7981154919e-01 4.7298112454e-03 4.7298112454e-03
 0.800    1.444   35.0    50.0 9.7463285923e-01 6.8683323155e-03 6.8683323155e-03
 1.444    1.566   35.0    50.0 9.6638655663e-01 1.6687060271e-02 1.6687060271e-02
 1.566    2.000   35.0    50.0 9.5782315731e-01 7.3030630999e-03 7.3030630999e-03
 2.000    2.500   35.0    50.0 9.0780138969e-01 9.0390825899e-03 9.0390825899e-03
-2.500   -2.000   50.0    90.0 9.4039732218e-01 7.0013627882e-03 7.0013627882e-03
-2.000   -1.566   50.0    90.0 9.8096448183e-01 5.6147785327e-03 5.6147785327e-03
-1.566   -1.444   50.0    90.0 9.9539172649e-01 2.4006835826e-02 2.4006835826e-02
-1.444   -0.800   50.0    90.0 9.7167485952e-01 1.8673522493e-02 1.8673522493e-02
-0.800    0.000   50.0    90.0 9.5308643579e-01 1.6885748614e-02 1.6885748614e-02
 0.000    0.800   50.0    90.0 9.7752809525e-01 1.6885748614e-02 1.6885748614e-02
 0.800    1.444   50.0    90.0 9.7893434763e-01 1.8673522493e-02 1.8673522493e-02
 1.444    1.566   50.0    90.0 9.7990727425e-01 2.4006835826e-02 2.4006835826e-02
 1.566    2.000   50.0    90.0 9.6855348349e-01 5.6147785327e-03 5.6147785327e-03
 2.000    2.500   50.0    90.0 9.3766236305e-01 7.0013627882e-03 7.0013627882e-03
-2.500   -2.000   90.0   150.0 1.0510855913e+00 2.2274231026e-02 2.2274231026e-02
-2.000   -1.566   90.0   150.0 1.0059242249e+00 2.1559558135e-02 2.1559558135e-02
-1.566   -1.444   90.0   150.0 1.1041055918e+00 4.9568872227e-02 4.9568872227e-02
-1.444   -0.800   90.0   150.0 9.8948597908e-01 8.6757765014e-03 8.6757765014e-03
-0.800    0.000   90.0   150.0 9.7549593449e-01 1.2607052196e-02 1.2607052196e-02
 0.000    0.800   90.0   150.0 1.0118906498e+00 1.2726844985e-02 1.2726844985e-02
 0.800    1.444   90.0   150.0 1.0107270479e+00 8.8888018722e-03 8.8888018722e-03
 1.444    1.566   90.0   150.0 1.0071632862e+00 4.9434950437e-02 4.9434950437e-02
 1.566    2.000   90.0   150.0 9.8826289177e-01 2.1559558135e-02 2.1559558135e-02
 2.000    2.500   90.0   150.0 1.0213568211e+00 2.2274231026e-02 2.2274231026e-02
-2.500   -2.000  150.0   500.0 1.0510855913e+00 2.2431792068e-02 2.2431792068e-02
-2.000   -1.566  150.0   500.0 1.0059242249e+00 2.1722303620e-02 2.1722303620e-02
-1.566   -1.444  150.0   500.0 1.1041055918e+00 4.9639873302e-02 4.9639873302e-02
-1.444   -0.800  150.0   500.0 9.8948597908e-01 9.0726526154e-03 9.0726526154e-03
-0.800    0.000  150.0   500.0 9.7549593449e-01 1.2883388244e-02 1.2883388244e-02
 0.000    0.800  150.0   500.0 1.0118906498e+00 1.3000635017e-02 1.3000635017e-02
 0.800    1.444  150.0   500.0 1.0107270479e+00 9.2765686706e-03 9.2765686706e-03
 1.444    1.566  150.0   500.0 1.0071632862e+00 4.9506143581e-02 4.9506143581e-02
 1.566    2.000  150.0   500.0 9.8826289177e-01 2.1722303620e-02 2.1722303620e-02
 2.000    2.500  150.0   500.0 1.0213568211e+00 2.2431792068e-02 2.2431792068e-02
