eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
-2.500   -2.000   10.0    20.0 9.3827158213e-01 7.9351580761e-03 7.9351580761e-03
-2.000   -1.566   10.0    20.0 9.7786456347e-01 2.4126058365e-02 2.4126058365e-02
-1.566   -1.444   10.0    20.0 1.0518233776e+00 1.9310608701e-01 1.9310608701e-01
-1.444   -0.800   10.0    20.0 1.0025707483e+00 1.0614785243e-02 1.0614785243e-02
-0.800    0.000   10.0    20.0 9.8371779919e-01 2.3727724415e-02 2.3727724415e-02
 0.000    0.800   10.0    20.0 9.7340422869e-01 2.3658717198e-02 2.3658717198e-02
 0.800    1.444   10.0    20.0 9.9102562666e-01 1.0605078076e-02 1.0605078076e-02
 1.444    1.566   10.0    20.0 1.0408163071e+00 1.9310608701e-01 1.9310608701e-01
 1.566    2.000   10.0    20.0 9.6315789223e-01 2.4126058365e-02 2.4126058365e-02
 2.000    2.500   10.0    20.0 9.5013475418e-01 7.6610657169e-03 7.6610657169e-03
-2.500   -2.000   20.0    35.0 9.7879856825e-01 6.7266541529e-03 6.7266541529e-03
-2.000   -1.566   20.0    35.0 9.9315071106e-01 1.5883728592e-02 1.5883728592e-02
-1.566   -1.444   20.0    35.0 9.9009901285e-01 1.7295439151e-01 1.7295439151e-01
-1.444   -0.800   20.0    35.0 9.8218262196e-01 2.2133758265e-02 2.2133758265e-02
-0.800    0.000   20.0    35.0 9.8224192858e-01 1.2638662470e-02 1.2638662470e-02
 0.000    0.800   20.0    35.0 9.8342543840e-01 1.2638662470e-02 1.2638662470e-02
 0.800    1.444   20.0    35.0 9.8553949594e-01 2.2133758265e-02 2.2133758265e-02
 1.444    1.566   20.0    35.0 1.0000000000e+00 1.7295439151e-01 1.7295439151e-01
 1.566    2.000   20.0    35.0 9.8507463932e-01 1.5883728592e-02 1.5883728592e-02
 2.000    2.500   20.0    35.0 9.6740394831e-01 6.7266541529e-03 6.7266541529e-03
-2.500   -2.000   35.0    50.0 9.9889135361e-01 4.0644188210e-03 4.0644188210e-03
-2.000   -1.566   35.0    50.0 1.0032538176e+00 3.2485110991e-03 3.2485110991e-03
-1.566   -1.444   35.0    50.0 9.9655961990e-01 5.3268869521e-03 5.3268869521e-03
-1.444   -0.800   35.0    50.0 9.8947370052e-01 2.4660440378e-03 2.4660440378e-03
-0.800    0.000   35.0    50.0 9.8746079206e-01 2.7617445836e-03 2.7617445836e-03
 0.000    0.800   35.0    50.0 9.8852974176e-01 2.7617445836e-03 2.7617445836e-03
 0.800    1.444   35.0    50.0 9.8949581385e-01 2.4660440378e-03 2.4660440378e-03
 1.444    1.566   35.0    50.0 9.8521047831e-01 5.3268869521e-03 5.3268869521e-03
 1.566    2.000   35.0    50.0 9.9891889095e-01 3.2485110991e-03 3.2485110991e-03
 2.000    2.500   35.0    50.0 9.9006623030e-01 4.0644188210e-03 4.0644188210e-03
-2.500   -2.000   50.0    90.0 1.0021929741e+00 5.3599337916e-03 5.3599337916e-03
-2.000   -1.566   50.0    90.0 1.0064377785e+00 3.5968921890e-03 3.5968921890e-03
-1.566   -1.444   50.0    90.0 9.9102133512e-01 5.1708045190e-03 5.1708045190e-03
-1.444   -0.800   50.0    90.0 9.9165797234e-01 2.6557393300e-03 2.6557393300e-03
-0.800    0.000   50.0    90.0 9.8546206951e-01 2.9795449412e-03 2.9795449412e-03
 0.000    0.800   50.0    90.0 9.8549222946e-01 2.9795449412e-03 2.9795449412e-03
 0.800    1.444   50.0    90.0 9.9063473940e-01 2.6557393300e-03 2.6557393300e-03
 1.444    1.566   50.0    90.0 9.8654711246e-01 5.1708045190e-03 5.1708045190e-03
 1.566    2.000   50.0    90.0 1.0053590536e+00 3.5968921890e-03 3.5968921890e-03
 2.000    2.500   50.0    90.0 9.9890828133e-01 5.3599337916e-03 5.3599337916e-03
-2.500   -2.000   90.0   150.0 1.0218579769e+00 2.6388728660e-02 2.6388728660e-02
-2.000   -1.566   90.0   150.0 1.0118279457e+00 8.3944304082e-03 8.3944304082e-03
-1.566   -1.444   90.0   150.0 1.0357530117e+00 2.8635102751e-02 2.8635102751e-02
-1.444   -0.800   90.0   150.0 1.0073606968e+00 8.0855064697e-03 8.0855064697e-03
-0.800    0.000   90.0   150.0 1.0020920038e+00 7.7281278157e-03 7.7281278157e-03
 0.000    0.800   90.0   150.0 1.0052083731e+00 7.6350411474e-03 7.6350411474e-03
 0.800    1.444   90.0   150.0 1.0073451996e+00 8.0855064697e-03 8.0855064697e-03
 1.444    1.566   90.0   150.0 1.0151515007e+00 2.8495283957e-02 2.8495283957e-02
 1.566    2.000   90.0   150.0 1.0075511932e+00 8.3944304082e-03 8.3944304082e-03
 2.000    2.500   90.0   150.0 1.0176211596e+00 2.6449947233e-02 2.6449947233e-02
-2.500   -2.000  150.0   500.0 1.0218579769e+00 2.7071879426e-02 2.7071879426e-02
-2.000   -1.566  150.0   500.0 1.0118279457e+00 1.0343506043e-02 1.0343506043e-02
-1.566   -1.444  150.0   500.0 1.0357530117e+00 2.9265863475e-02 2.9265863475e-02
-1.444   -0.800  150.0   500.0 1.0073606968e+00 1.0094407871e-02 1.0094407871e-02
-0.800    0.000  150.0   500.0 1.0020920038e+00 9.8104849485e-03 9.8104849485e-03
 0.000    0.800  150.0   500.0 1.0052083731e+00 9.7373255420e-03 9.7373255420e-03
 0.800    1.444  150.0   500.0 1.0073451996e+00 1.0094407871e-02 1.0094407871e-02
 1.444    1.566  150.0   500.0 1.0151515007e+00 2.9129072473e-02 2.9129072473e-02
 1.566    2.000  150.0   500.0 1.0075511932e+00 1.0343506043e-02 1.0343506043e-02
 2.000    2.500  150.0   500.0 1.0176211596e+00 2.7131556608e-02 2.7131556608e-02
