    x_low x_high val    err_down err_up syst_up syst_down
0   0     1      0.0    0.0      0.0    0.0     0.0
1   1     2      0.0    0.0      0.0    0.0     0.0
2   2     3      0.0    0.0      0.0    0.0     0.0
3   3     4      0.0    0.0      0.0    0.0     0.0
4   4     5      0.0    0.0      0.0    0.0     0.0
5   5     6      0.0    0.0      0.0    0.0     0.0
6   6     7      0.0    0.0      0.0    0.0     0.0
7   7     8      0.0    0.0      0.0    0.0     0.0
8   8     9      0.0    0.0      0.0    0.0     0.0
9   9     10     0.0    0.0      0.0    0.0     0.0
10  10    11     0.0    0.0      0.0    0.0     0.0
11  11    12     0.0    0.0      0.0    0.0     0.0
12  12    13     0.0    0.0      0.0    0.0     0.0
13  13    14     0.0    0.0      0.0    0.0     0.0
14  14    15     0.0    0.0      0.0    0.0     0.0
15  15    16     0.0    0.0      0.0    0.0     0.0
16  16    17     0.0    0.0      0.0    0.0     0.0
17  17    18     0.0    0.0      0.0    0.0     0.0
18  18    19     0.0    0.0      0.0    0.0     0.0
19  19    20     0.0    0.0      0.0    0.0     0.0
20  20    21     0.0    0.0      0.0    0.0     0.0
21  21    22     0.0    0.0      0.0    0.0     0.0
22  22    23     0.0    0.0      0.0    0.0     0.0
23  23    24     0.0    0.0      0.0    0.0     0.0
24  24    25     0.0    0.0      0.0    0.0     0.0
25  25    26     0.0    0.0      0.0    0.0     0.0
26  26    27     0.0    0.0      0.0    0.0     0.0
27  27    28     0.0    0.0      0.0    0.0     0.0
28  28    29     0.0    0.0      0.0    0.0     0.0
29  29    30     0.0    0.0      0.0001 0.0     0.0
30  30    31     0.0    0.0      0.0001 0.0     0.0
31  31    32     0.0001 0.0001   0.0    0.0     0.0
32  32    33     0.0001 0.0001   0.0    0.0     0.0
33  33    34     0.0001 0.0001   0.0    0.0     0.0
34  34    35     0.0001 0.0001   0.0    0.0     0.0
35  35    36     0.0001 0.0001   0.0    0.0     0.0
36  36    37     0.0001 0.0      0.0001 0.0     0.0
37  37    38     0.0001 0.0      0.0001 0.0     0.0
38  38    39     0.0002 0.0001   0.0    0.0     0.0
39  39    40     0.0002 0.0001   0.0001 0.0     0.0
40  40    41     0.0002 0.0001   0.0001 0.0     0.0
41  41    42     0.0002 0.0001   0.0001 0.0     0.0
42  42    43     0.0003 0.0001   0.0001 0.0     0.0
43  43    44     0.0003 0.0001   0.0002 0.0     0.0
44  44    45     0.0004 0.0002   0.0001 0.0     0.0
45  45    46     0.0004 0.0001   0.0002 0.0     0.0
46  46    47     0.0005 0.0002   0.0002 0.0     0.0
47  47    48     0.0006 0.0002   0.0002 0.0     0.0
48  48    49     0.0007 0.0003   0.0002 0.0     0.0
49  49    50     0.0008 0.0003   0.0002 0.0001  0.0001
50  50    51     0.0009 0.0003   0.0003 0.0     0.0
51  51    52     0.001  0.0003   0.0003 0.0     0.0
52  52    53     0.0011 0.0003   0.0004 0.0     0.0
53  53    54     0.0013 0.0004   0.0004 0.0     0.0
54  54    55     0.0015 0.0005   0.0004 0.0001  0.0001
55  55    56     0.0017 0.0005   0.0005 0.0001  0.0001
56  56    57     0.0019 0.0006   0.0005 0.0     0.0
57  57    58     0.0021 0.0006   0.0006 0.0     0.0
58  58    59     0.0024 0.0007   0.0007 0.0     0.0
59  59    60     0.0027 0.0007   0.0008 0.0     0.0
60  60    61     0.0031 0.0008   0.0008 0.0     0.0
61  61    62     0.0035 0.0009   0.0009 0.0001  0.0001
62  62    63     0.0039 0.001    0.001  0.0     0.0
63  63    64     0.0044 0.0011   0.0011 0.0     0.0
64  64    65     0.0049 0.0011   0.0012 0.0     0.0
65  65    66     0.0055 0.0012   0.0013 0.0     0.0
66  66    67     0.0062 0.0014   0.0014 0.0001  0.0001
67  67    68     0.0069 0.0015   0.0015 0.0     0.0
68  68    69     0.0077 0.0016   0.0016 0.0001  0.0001
69  69    70     0.0086 0.0017   0.0017 0.0001  0.0001
70  70    71     0.0096 0.0019   0.0018 0.0001  0.0001
71  71    72     0.0106 0.002    0.002  0.0001  0.0001
72  72    73     0.0118 0.0021   0.0021 0.0001  0.0001
73  73    74     0.0131 0.0023   0.0023 0.0002  0.0002
74  74    75     0.0145 0.0025   0.0024 0.0002  0.0002
75  75    76     0.016  0.0026   0.0026 0.0002  0.0002
76  76    77     0.0176 0.0028   0.0028 0.0002  0.0002
77  77    78     0.0194 0.0029   0.003  0.0002  0.0002
78  78    79     0.0214 0.0032   0.0031 0.0002  0.0002
79  79    80     0.0235 0.0033   0.0033 0.0003  0.0003
80  80    81     0.0258 0.0035   0.0035 0.0003  0.0003
81  81    82     0.0282 0.0037   0.0037 0.0003  0.0003
82  82    83     0.0309 0.0039   0.0039 0.0003  0.0003
83  83    84     0.0337 0.004    0.0041 0.0003  0.0003
84  84    85     0.0368 0.0043   0.0043 0.0004  0.0004
85  85    86     0.0401 0.0044   0.0045 0.0004  0.0004
86  86    87     0.0437 0.0047   0.0046 0.0005  0.0005
87  87    88     0.0474 0.0048   0.0049 0.0005  0.0005
88  88    89     0.0515 0.005    0.005  0.0006  0.0006
89  89    90     0.0558 0.0052   0.0052 0.0006  0.0006
90  90    91     0.0604 0.0054   0.0054 0.0006  0.0006
91  91    92     0.0653 0.0056   0.0055 0.0007  0.0007
92  92    93     0.0705 0.0058   0.0057 0.0008  0.0008
93  93    94     0.076  0.0059   0.0058 0.0008  0.0008
94  94    95     0.0818 0.006    0.006  0.0009  0.0009
95  95    96     0.0879 0.0061   0.0062 0.0009  0.0009
96  96    97     0.0944 0.0063   0.0063 0.001   0.001
97  97    98     0.1012 0.0063   0.0064 0.001   0.001
98  98    99     0.1084 0.0065   0.0065 0.0011  0.0011
99  99    100    0.116  0.0066   0.0065 0.0012  0.0012
100 100   101    0.1239 0.0067   0.0066 0.0013  0.0013
101 101   102    0.1322 0.0067   0.0067 0.0014  0.0014
102 102   103    0.1408 0.0067   0.0068 0.0014  0.0014
103 103   104    0.1498 0.0067   0.0068 0.0014  0.0014
104 104   105    0.1592 0.0067   0.0068 0.0015  0.0015
105 105   106    0.169  0.0068   0.0068 0.0016  0.0016
106 106   107    0.1792 0.0068   0.0068 0.0017  0.0017
107 107   108    0.1897 0.0067   0.0068 0.0018  0.0018
108 108   109    0.2006 0.0067   0.0068 0.0018  0.0018
109 109   110    0.2119 0.0067   0.0068 0.0019  0.0019
110 110   111    0.2236 0.0067   0.0067 0.0021  0.0021
111 111   112    0.2356 0.0067   0.0067 0.0022  0.0022
112 112   113    0.2479 0.0067   0.0067 0.0022  0.0022
113 113   114    0.2606 0.0067   0.0067 0.0023  0.0023
114 114   115    0.2736 0.0067   0.0067 0.0024  0.0024
115 115   116    0.2869 0.0067   0.0068 0.0024  0.0024
116 116   117    0.3006 0.0068   0.0067 0.0026  0.0026
117 117   118    0.3145 0.0069   0.0068 0.0027  0.0027
118 118   119    0.3286 0.0069   0.007  0.0027  0.0027
119 119   120    0.3431 0.0071   0.0071 0.0028  0.0028
120 120   121    0.3577 0.0073   0.0073 0.0028  0.0028
121 121   122    0.3726 0.0075   0.0075 0.0029  0.0029
122 122   123    0.3877 0.0078   0.0077 0.003   0.003
123 123   124    0.4029 0.008    0.008  0.0031  0.0031
124 124   125    0.4183 0.0083   0.0082 0.0032  0.0032
125 125   126    0.4338 0.0086   0.0086 0.0032  0.0032
126 126   127    0.4494 0.0089   0.0089 0.0032  0.0032
127 127   128    0.4651 0.0093   0.0093 0.0033  0.0033
128 128   129    0.4808 0.0096   0.0097 0.0033  0.0033
129 129   130    0.4966 0.01     0.01   0.0033  0.0033
130 130   131    0.5124 0.0104   0.0104 0.0034  0.0034
131 131   132    0.5282 0.0108   0.0107 0.0035  0.0035
132 132   133    0.5439 0.0111   0.0111 0.0035  0.0035
133 133   134    0.5595 0.0115   0.0115 0.0034  0.0034
134 134   135    0.5751 0.0119   0.0118 0.0035  0.0035
135 135   136    0.5905 0.0122   0.0122 0.0034  0.0034
136 136   137    0.6058 0.0125   0.0125 0.0034  0.0034
137 137   138    0.621  0.0129   0.0128 0.0035  0.0035
138 138   139    0.6359 0.0131   0.0131 0.0034  0.0034
139 139   140    0.6507 0.0134   0.0134 0.0034  0.0034
140 140   141    0.6652 0.0136   0.0136 0.0034  0.0034
141 141   142    0.6795 0.0138   0.0138 0.0034  0.0034
142 142   143    0.6935 0.014    0.014  0.0033  0.0033
143 143   144    0.7073 0.0142   0.0141 0.0033  0.0033
144 144   145    0.7207 0.0143   0.0143 0.0032  0.0032
145 145   146    0.7339 0.0144   0.0143 0.0032  0.0032
146 146   147    0.7467 0.0144   0.0144 0.0032  0.0032
147 147   148    0.7592 0.0145   0.0144 0.0031  0.0031
148 148   149    0.7713 0.0144   0.0145 0.003   0.003
149 149   150    0.7831 0.0144   0.0144 0.0029  0.0029
150 150   151    0.7946 0.0144   0.0143 0.0029  0.0029
151 151   152    0.8056 0.0142   0.0143 0.0028  0.0028
152 152   153    0.8163 0.0141   0.0141 0.0027  0.0027
153 153   154    0.8267 0.014    0.0139 0.0027  0.0027
154 154   155    0.8366 0.0138   0.0138 0.0026  0.0026
