    x_low x_high val        err_down err_up syst_up syst_down
0   0     1      0.0        0.0558   0.0557 0.011   0.011
1   1     2      0.0        0.0552   0.0553 0.011   0.011
2   2     3      0.0        0.0548   0.0548 0.0108  0.0108
3   3     4      0.0        0.0543   0.0544 0.0108  0.0108
4   4     5      0.0        0.0539   0.0538 0.0107  0.0107
5   5     6      0.0        0.0534   0.0534 0.0106  0.0106
6   6     7      0.0        0.0529   0.053  0.0106  0.0106
7   7     8      0.0        0.0525   0.0524 0.0105  0.0105
8   8     9      0.0        0.052    0.052  0.0104  0.0104
9   9     10     0.0        0.0515   0.0516 0.0104  0.0104
10  10    11     0.0        0.051    0.0511 0.0103  0.0103
11  11    12     0.0        0.0507   0.0506 0.0101  0.0101
12  12    13     0.0        0.0502   0.0501 0.0101  0.0101
13  13    14     0.0        0.0497   0.0497 0.01    0.01
14  14    15     0.0        0.0493   0.0492 0.0099  0.0099
15  15    16     0.0        0.0488   0.0488 0.0099  0.0099
16  16    17     0.0        0.0484   0.0484 0.0098  0.0098
17  17    18     0.0        0.0479   0.0479 0.0097  0.0097
18  18    19     0.0        0.0475   0.0475 0.0096  0.0096
19  19    20     0.0        0.0471   0.047  0.0096  0.0096
20  20    21     0.0        0.0466   0.0466 0.0095  0.0095
21  21    22     0.0        0.0461   0.0462 0.0095  0.0095
22  22    23     0.0        0.0457   0.0457 0.0094  0.0094
23  23    24     0.0        0.0453   0.0453 0.0093  0.0093
24  24    25     0.0        0.0449   0.0448 0.0092  0.0092
25  25    26     0.0        0.0444   0.0445 0.0092  0.0092
26  26    27     0.0        0.044    0.044  0.0091  0.0091
27  27    28     0.0        0.0436   0.0436 0.009   0.009
28  28    29     0.0        0.0432   0.0432 0.009   0.009
29  29    30     0.0        0.0428   0.0428 0.0089  0.0089
30  30    31     0.0        0.0423   0.0425 0.0088  0.0088
31  31    32     8.592e-05  0.0421   0.0419 0.0087  0.0087
32  32    33     8.6e-05    0.0416   0.0415 0.0087  0.0087
33  33    34     8.609e-05  0.0412   0.0411 0.0086  0.0086
34  34    35     8.617e-05  0.0408   0.0407 0.0085  0.0085
35  35    36     8.625e-05  0.0404   0.0403 0.0085  0.0085
36  36    37     8.634e-05  0.0399   0.04   0.0084  0.0084
37  37    38     8.642e-05  0.0395   0.0396 0.0083  0.0083
38  38    39     0.000173   0.0392   0.0391 0.0083  0.0083
39  39    40     0.00017316 0.0388   0.0388 0.0082  0.0082
40  40    41     0.00017332 0.0384   0.0385 0.0082  0.0082
41  41    42     0.0001735  0.0381   0.038  0.008   0.008
42  42    43     0.00026049 0.0377   0.0376 0.008   0.008
43  43    44     0.00026073 0.0373   0.0373 0.0079  0.0079
44  44    45     0.00034796 0.037    0.0368 0.0079  0.0079
45  45    46     0.00034828 0.0365   0.0366 0.0078  0.0078
46  46    47     0.00043575 0.0362   0.0362 0.0077  0.0077
47  47    48     0.00052338 0.0359   0.0358 0.0076  0.0076
48  48    49     0.00061117 0.0356   0.0354 0.0076  0.0076
