    x_low x_high val            err_down err_up syst_up syst_down
0   0     1      0.0            0.1116   0.1114 0.022   0.022
1   1     2      0.0            0.1104   0.1106 0.022   0.022
2   2     3      0.0            0.1096   0.1096 0.0216  0.0216
3   3     4      0.0            0.1086   0.1088 0.0216  0.0216
4   4     5      0.0            0.1078   0.1076 0.0214  0.0214
5   5     6      0.0            0.1068   0.1068 0.0212  0.0212
6   6     7      0.0            0.1058   0.106  0.0212  0.0212
7   7     8      0.0            0.105    0.1048 0.021   0.021
8   8     9      0.0            0.104    0.104  0.0208  0.0208
9   9     10     0.0            0.103    0.1032 0.0208  0.0208
10  10    11     0.0            0.102    0.1022 0.0206  0.0206
11  11    12     0.0            0.1014   0.1012 0.0202  0.0202
12  12    13     0.0            0.1004   0.1002 0.0202  0.0202
13  13    14     0.0            0.0994   0.0994 0.02    0.02
14  14    15     0.0            0.0986   0.0984 0.0198  0.0198
15  15    16     0.0            0.0976   0.0976 0.0198  0.0198
16  16    17     0.0            0.0968   0.0968 0.0196  0.0196
17  17    18     0.0            0.0958   0.0958 0.0194  0.0194
18  18    19     0.0            0.095    0.095  0.0192  0.0192
19  19    20     0.0            0.0942   0.094  0.0192  0.0192
20  20    21     0.0            0.0932   0.0932 0.019   0.019
21  21    22     0.0            0.0922   0.0924 0.019   0.019
22  22    23     0.0            0.0914   0.0914 0.0188  0.0188
23  23    24     0.0            0.0906   0.0906 0.0186  0.0186
24  24    25     0.0            0.0898   0.0896 0.0184  0.0184
25  25    26     0.0            0.0888   0.089  0.0184  0.0184
26  26    27     0.0            0.088    0.088  0.0182  0.0182
27  27    28     0.0            0.0872   0.0872 0.018   0.018
28  28    29     0.0            0.0864   0.0864 0.018   0.018
29  29    30     0.0            0.0856   0.0855 0.0178  0.0178
30  30    31     0.0            0.0846   0.0849 0.0176  0.0176
31  31    32     7.3822464e-05  0.0841   0.0838 0.0174  0.0174
32  32    33     7.396e-05      0.0831   0.083  0.0174  0.0174
33  33    34     7.4114881e-05  0.0823   0.0822 0.0172  0.0172
34  34    35     7.4252689e-05  0.0815   0.0814 0.017   0.017
35  35    36     7.4390625e-05  0.0807   0.0806 0.017   0.017
36  36    37     7.4545956e-05  0.0798   0.0799 0.0168  0.0168
37  37    38     7.4684164e-05  0.079    0.0791 0.0166  0.0166
