etasc_low  etasc_high  pt_low  pt_high  correction    unc_up  unc_down
   -2.500      -2.000    20.0     35.0    0.939227  0.004257  0.004257
   -2.500      -2.000    35.0     50.0    0.955224  0.012746  0.012746
   -2.500      -2.000    50.0     90.0    0.961306  0.014097  0.014097
   -2.500      -2.000    90.0    150.0    0.972455  0.018511  0.018511
   -2.500      -2.000   150.0    500.0    0.972455  0.018851  0.018851
   -2.000      -1.566    20.0     35.0    0.954608  0.003233  0.003233
   -2.000      -1.566    35.0     50.0    0.971286  0.009291  0.009291
   -2.000      -1.566    50.0     90.0    0.969363  0.011967  0.011967
   -2.000      -1.566    90.0    150.0    0.996278  0.015776  0.015776
   -2.000      -1.566   150.0    500.0    0.996278  0.016174  0.016174
   -1.566      -1.444    20.0     35.0    1.000000  1.000000  1.000000
   -1.566      -1.444    35.0     50.0    1.000000  1.000000  1.000000
   -1.566      -1.444    50.0     90.0    1.000000  1.000000  1.000000
   -1.566      -1.444    90.0    150.0    1.000000  1.000000  1.000000
   -1.566      -1.444   150.0    500.0    1.000000  1.000006  1.000006
   -1.444      -0.800    20.0     35.0    0.974462  0.010002  0.010002
   -1.444      -0.800    35.0     50.0    0.974296  0.011138  0.011138
   -1.444      -0.800    50.0     90.0    0.969549  0.014395  0.014395
   -1.444      -0.800    90.0    150.0    1.021628  0.009581  0.009581
   -1.444      -0.800   150.0    500.0    1.021628  0.010222  0.010222
   -0.800       0.000    20.0     35.0    0.963173  0.020614  0.020614
   -0.800       0.000    35.0     50.0    0.961104  0.012867  0.012867
   -0.800       0.000    50.0     90.0    0.952795  0.008915  0.008915
   -0.800       0.000    90.0    150.0    0.992258  0.011319  0.011319
   -0.800       0.000   150.0    500.0    0.992258  0.011867  0.011867
    0.000       0.800    20.0     35.0    0.965957  0.020614  0.020614
    0.000       0.800    35.0     50.0    0.969697  0.012867  0.012867
    0.000       0.800    50.0     90.0    0.957553  0.008915  0.008915
    0.000       0.800    90.0    150.0    1.000000  0.011319  0.011319
    0.000       0.800   150.0    500.0    1.000000  0.011867  0.011867
    0.800       1.444    20.0     35.0    0.978349  0.010002  0.010002
    0.800       1.444    35.0     50.0    0.976658  0.011138  0.011138
    0.800       1.444    50.0     90.0    0.968293  0.014395  0.014395
    0.800       1.444    90.0    150.0    1.018987  0.009581  0.009581
    0.800       1.444   150.0    500.0    1.018987  0.010222  0.010222
    1.444       1.566    20.0     35.0    1.000000  1.000000  1.000000
    1.444       1.566    35.0     50.0    1.000000  1.000000  1.000000
    1.444       1.566    50.0     90.0    1.000000  1.000000  1.000000
    1.444       1.566    90.0    150.0    1.000000  1.000000  1.000000
    1.444       1.566   150.0    500.0    1.000000  1.000006  1.000006
    1.566       2.000    20.0     35.0    0.950276  0.003233  0.003233
    1.566       2.000    35.0     50.0    0.971214  0.009291  0.009291
    1.566       2.000    50.0     90.0    0.965560  0.011967  0.011967
    1.566       2.000    90.0    150.0    0.992638  0.015776  0.015776
    1.566       2.000   150.0    500.0    0.992638  0.016174  0.016174
    2.000       2.500    20.0     35.0    0.933702  0.004257  0.004257
    2.000       2.500    35.0     50.0    0.960000  0.012746  0.012746
    2.000       2.500    50.0     90.0    0.960048  0.014097  0.014097
    2.000       2.500    90.0    150.0    1.019900  0.018586  0.018586
    2.000       2.500   150.0    500.0    1.019900  0.018925  0.018925
