etasc_low  etasc_high  pt_low  pt_high  correction    unc_up  unc_down
   -2.500      -2.000    20.0     35.0    0.902801  0.010347  0.010347
   -2.500      -2.000    35.0     50.0    0.916176  0.018713  0.018713
   -2.500      -2.000    50.0     90.0    0.921016  0.029286  0.029286
   -2.500      -2.000    90.0    150.0    0.940111  0.022766  0.022766
   -2.500      -2.000   150.0    500.0    0.940111  0.022776  0.022776
   -2.000      -1.566    20.0     35.0    0.942149  0.005183  0.005183
   -2.000      -1.566    35.0     50.0    0.957227  0.009215  0.009215
   -2.000      -1.566    50.0     90.0    0.962697  0.033193  0.033193
   -2.000      -1.566    90.0    150.0    0.988636  0.018221  0.018221
   -2.000      -1.566   150.0    500.0    0.988636  0.018233  0.018233
   -1.566      -1.444    20.0     35.0    1.000000  1.000000  1.000000
   -1.566      -1.444    35.0     50.0    1.000000  1.000000  1.000000
   -1.566      -1.444    50.0     90.0    1.000000  1.000000  1.000000
   -1.566      -1.444    90.0    150.0    1.000000  1.000000  1.000000
   -1.566      -1.444   150.0    500.0    1.000000  1.000000  1.000000
   -1.444      -0.800    20.0     35.0    0.980424  0.012746  0.012746
   -1.444      -0.800    35.0     50.0    0.977143  0.011416  0.011416
   -1.444      -0.800    50.0     90.0    0.968011  0.025538  0.025538
   -1.444      -0.800    90.0    150.0    1.011236  0.015812  0.015812
   -1.444      -0.800   150.0    500.0    1.011236  0.015826  0.015826
   -0.800       0.000    20.0     35.0    0.968696  0.027725  0.027725
   -0.800       0.000    35.0     50.0    0.963018  0.011011  0.011011
   -0.800       0.000    50.0     90.0    0.952654  0.025601  0.025601
   -0.800       0.000    90.0    150.0    0.998553  0.011329  0.011329
   -0.800       0.000   150.0    500.0    0.998553  0.011348  0.011348
    0.000       0.800    20.0     35.0    0.985940  0.027725  0.027725
    0.000       0.800    35.0     50.0    0.980539  0.011011  0.011011
    0.000       0.800    50.0     90.0    0.970972  0.025601  0.025601
    0.000       0.800    90.0    150.0    1.007299  0.011329  0.011329
    0.000       0.800   150.0    500.0    1.007299  0.011348  0.011348
    0.800       1.444    20.0     35.0    0.990083  0.012746  0.012746
    0.800       1.444    35.0     50.0    0.979885  0.011416  0.011416
    0.800       1.444    50.0     90.0    0.970670  0.025538  0.025538
    0.800       1.444    90.0    150.0    1.025532  0.015812  0.015812
    0.800       1.444   150.0    500.0    1.025532  0.015826  0.015826
    1.444       1.566    20.0     35.0    1.000000  1.000000  1.000000
    1.444       1.566    35.0     50.0    1.000000  1.000000  1.000000
    1.444       1.566    50.0     90.0    1.000000  1.000000  1.000000
    1.444       1.566    90.0    150.0    1.000000  1.000000  1.000000
    1.444       1.566   150.0    500.0    1.000000  1.000000  1.000000
    1.566       2.000    20.0     35.0    0.936667  0.005183  0.005183
    1.566       2.000    35.0     50.0    0.956909  0.009215  0.009215
    1.566       2.000    50.0     90.0    0.948350  0.033193  0.033193
    1.566       2.000    90.0    150.0    0.983027  0.018221  0.018221
    1.566       2.000   150.0    500.0    0.983027  0.018233  0.018233
    2.000       2.500    20.0     35.0    0.903974  0.010347  0.010347
    2.000       2.500    35.0     50.0    0.927300  0.018713  0.018713
    2.000       2.500    50.0     90.0    0.931721  0.029286  0.029286
    2.000       2.500    90.0    150.0    0.982759  0.023058  0.023058
    2.000       2.500   150.0    500.0    0.982759  0.023067  0.023067
