etasc_low  etasc_high  pt_low  pt_high  correction    unc_up  unc_down
   -2.500      -2.000    20.0     35.0    0.889522  0.008399  0.008399
   -2.500      -2.000    35.0     50.0    0.902222  0.011469  0.011469
   -2.500      -2.000    50.0     90.0    0.911210  0.012540  0.012540
   -2.500      -2.000    90.0    150.0    0.967497  0.012427  0.012427
   -2.500      -2.000   150.0    500.0    0.967497  0.012428  0.012428
   -2.000      -1.566    20.0     35.0    0.889919  0.011205  0.011205
   -2.000      -1.566    35.0     50.0    0.905935  0.008560  0.008560
   -2.000      -1.566    50.0     90.0    0.898402  0.011945  0.011945
   -2.000      -1.566    90.0    150.0    0.912938  0.013645  0.013645
   -2.000      -1.566   150.0    500.0    0.912938  0.013646  0.013646
   -1.566      -1.444    20.0     35.0    1.000000  1.000000  1.000000
   -1.566      -1.444    35.0     50.0    1.000000  1.000000  1.000000
   -1.566      -1.444    50.0     90.0    1.000000  1.000000  1.000000
   -1.566      -1.444    90.0    150.0    1.000000  1.000000  1.000000
   -1.566      -1.444   150.0    500.0    1.000000  1.000000  1.000000
   -1.444      -0.800    20.0     35.0    0.952164  0.010519  0.010519
   -1.444      -0.800    35.0     50.0    0.954796  0.009527  0.009527
   -1.444      -0.800    50.0     90.0    0.949283  0.015263  0.015263
   -1.444      -0.800    90.0    150.0    0.995595  0.008496  0.008496
   -1.444      -0.800   150.0    500.0    0.995595  0.008496  0.008496
   -0.800       0.000    20.0     35.0    0.951890  0.016815  0.016815
   -0.800       0.000    35.0     50.0    0.958874  0.010440  0.010440
   -0.800       0.000    50.0     90.0    0.952122  0.009980  0.009980
   -0.800       0.000    90.0    150.0    0.992282  0.005880  0.005880
   -0.800       0.000   150.0    500.0    0.992282  0.005880  0.005880
    0.000       0.800    20.0     35.0    0.953036  0.016815  0.016815
    0.000       0.800    35.0     50.0    0.965255  0.010440  0.010440
    0.000       0.800    50.0     90.0    0.958470  0.009980  0.009980
    0.000       0.800    90.0    150.0    0.996670  0.005880  0.005880
    0.000       0.800   150.0    500.0    0.996670  0.005880  0.005880
    0.800       1.444    20.0     35.0    0.962500  0.010519  0.010519
    0.800       1.444    35.0     50.0    0.960483  0.009527  0.009527
    0.800       1.444    50.0     90.0    0.956092  0.015263  0.015263
    0.800       1.444    90.0    150.0    1.011050  0.008651  0.008651
    0.800       1.444   150.0    500.0    1.011050  0.008652  0.008652
    1.444       1.566    20.0     35.0    1.000000  1.000000  1.000000
    1.444       1.566    35.0     50.0    1.000000  1.000000  1.000000
    1.444       1.566    50.0     90.0    1.000000  1.000000  1.000000
    1.444       1.566    90.0    150.0    1.000000  1.000000  1.000000
    1.444       1.566   150.0    500.0    1.000000  1.000000  1.000000
    1.566       2.000    20.0     35.0    0.920046  0.011205  0.011205
    1.566       2.000    35.0     50.0    0.932886  0.008560  0.008560
    1.566       2.000    50.0     90.0    0.922197  0.011945  0.011945
    1.566       2.000    90.0    150.0    0.958937  0.013645  0.013645
    1.566       2.000   150.0    500.0    0.958937  0.013646  0.013646
    2.000       2.500    20.0     35.0    0.909091  0.008399  0.008399
    2.000       2.500    35.0     50.0    0.932671  0.011469  0.011469
    2.000       2.500    50.0     90.0    0.939361  0.012540  0.012540
    2.000       2.500    90.0    150.0    1.004425  0.012469  0.012469
    2.000       2.500   150.0    500.0    1.004425  0.012470  0.012470
