      xlow   xupp    ylow    yupp        content      error
0    -5.00  -4.00    10.0    15.0   0.000000e+00   0.000000
1    -5.00  -4.00    15.0    20.0   0.000000e+00   0.000000
2    -5.00  -4.00    20.0    25.0   0.000000e+00   0.000000
3    -5.00  -4.00    25.0    30.0   0.000000e+00   0.000000
4    -5.00  -4.00    30.0    35.0   0.000000e+00   0.000000
5    -5.00  -4.00    35.0    40.0   0.000000e+00   0.000000
6    -5.00  -4.00    40.0    50.0   0.000000e+00   0.000000
7    -5.00  -4.00    50.0    70.0   0.000000e+00   0.000000
8    -5.00  -4.00    70.0   100.0   0.000000e+00   0.000000
9    -5.00  -4.00   100.0   150.0   0.000000e+00   0.000000
10   -5.00  -4.00   150.0   200.0   0.000000e+00   0.000000
11   -5.00  -4.00   200.0   300.0   0.000000e+00   0.000000
12   -5.00  -4.00   300.0   500.0   0.000000e+00   0.000000
13   -4.00  -3.50    10.0    15.0   0.000000e+00   0.000000
14   -4.00  -3.50    15.0    20.0   0.000000e+00   0.000000
15   -4.00  -3.50    20.0    25.0   0.000000e+00   0.000000
16   -4.00  -3.50    25.0    30.0   0.000000e+00   0.000000
17   -4.00  -3.50    30.0    35.0   0.000000e+00   0.000000
18   -4.00  -3.50    35.0    40.0   0.000000e+00   0.000000
19   -4.00  -3.50    40.0    50.0   0.000000e+00   0.000000
20   -4.00  -3.50    50.0    70.0   0.000000e+00   0.000000
21   -4.00  -3.50    70.0   100.0   0.000000e+00   0.000000
22   -4.00  -3.50   100.0   150.0   0.000000e+00   0.000000
23   -4.00  -3.50   150.0   200.0   0.000000e+00   0.000000
24   -4.00  -3.50   200.0   300.0   0.000000e+00   0.000000
25   -4.00  -3.50   300.0   500.0   0.000000e+00   0.000000
26   -3.50  -3.10    10.0    15.0   0.000000e+00   0.000000
27   -3.50  -3.10    15.0    20.0   0.000000e+00   0.000000
28   -3.50  -3.10    20.0    25.0   0.000000e+00   0.000000
29   -3.50  -3.10    25.0    30.0   0.000000e+00   0.000000
30   -3.50  -3.10    30.0    35.0   0.000000e+00   0.000000
31   -3.50  -3.10    35.0    40.0   0.000000e+00   0.000000
32   -3.50  -3.10    40.0    50.0   0.000000e+00   0.000000
33   -3.50  -3.10    50.0    70.0   0.000000e+00   0.000000
34   -3.50  -3.10    70.0   100.0   0.000000e+00   0.000000
35   -3.50  -3.10   100.0   150.0   0.000000e+00   0.000000
36   -3.50  -3.10   150.0   200.0   0.000000e+00   0.000000
37   -3.50  -3.10   200.0   300.0   0.000000e+00   0.000000
38   -3.50  -3.10   300.0   500.0   0.000000e+00   0.000000
39   -3.10  -3.00    10.0    15.0   0.000000e+00   0.000000
40   -3.10  -3.00    15.0    20.0   0.000000e+00   0.000000
41   -3.10  -3.00    20.0    25.0   0.000000e+00   0.000000
42   -3.10  -3.00    25.0    30.0   0.000000e+00   0.000000
43   -3.10  -3.00    30.0    35.0   1.000000e-06   0.033883
44   -3.10  -3.00    35.0    40.0   1.000000e-06   0.044409
45   -3.10  -3.00    40.0    50.0   1.000000e-06   0.033883
46   -3.10  -3.00    50.0    70.0   2.941176e-02   0.026466
47   -3.10  -3.00    70.0   100.0   1.000000e-06   0.068830
48   -3.10  -3.00   100.0   150.0   1.000000e-06   0.104757
49   -3.10  -3.00   150.0   200.0   2.500000e-01   0.215044
50   -3.10  -3.00   200.0   300.0   1.000000e-06   0.272166
51   -3.10  -3.00   300.0   500.0   0.000000e+00   0.000000
52   -3.00  -2.75    10.0    15.0   0.000000e+00   0.000000
53   -3.00  -2.75    15.0    20.0   0.000000e+00   0.000000
54   -3.00  -2.75    20.0    25.0   0.000000e+00   0.000000
55   -3.00  -2.75    25.0    30.0   0.000000e+00   0.000000
56   -3.00  -2.75    30.0    35.0   1.332288e-02   0.002543
57   -3.00  -2.75    35.0    40.0   1.276596e-02   0.002561
58   -3.00  -2.75    40.0    50.0   1.750842e-02   0.002884
59   -3.00  -2.75    50.0    70.0   1.082431e-02   0.002196
60   -3.00  -2.75    70.0   100.0   2.307692e-02   0.005843
61   -3.00  -2.75   100.0   150.0   8.027523e-02   0.012635
62   -3.00  -2.75   150.0   200.0   2.658730e-01   0.027661
63   -3.00  -2.75   200.0   300.0   3.967611e-01   0.031060
64   -3.00  -2.75   300.0   500.0   5.378788e-01   0.043425
65   -2.75  -2.50    10.0    15.0   0.000000e+00   0.000000
66   -2.75  -2.50    15.0    20.0   0.000000e+00   0.000000
67   -2.75  -2.50    20.0    25.0   0.000000e+00   0.000000
68   -2.75  -2.50    25.0    30.0   0.000000e+00   0.000000
69   -2.75  -2.50    30.0    35.0   1.790073e-02   0.003219
70   -2.75  -2.50    35.0    40.0   1.640839e-02   0.003206
71   -2.75  -2.50    40.0    50.0   1.208981e-02   0.002013
72   -2.75  -2.50    50.0    70.0   1.589404e-02   0.002671
73   -2.75  -2.50    70.0   100.0   2.328160e-02   0.004461
74   -2.75  -2.50   100.0   150.0   7.177616e-02   0.008707
75   -2.75  -2.50   150.0   200.0   1.743421e-01   0.015210
76   -2.75  -2.50   200.0   300.0   2.644018e-01   0.016845
77   -2.75  -2.50   300.0   500.0   4.809264e-01   0.018434
78   -2.50  -2.25    10.0    15.0   0.000000e+00   0.000000
79   -2.50  -2.25    15.0    20.0   0.000000e+00   0.000000
80   -2.50  -2.25    20.0    25.0   0.000000e+00   0.000000
81   -2.50  -2.25    25.0    30.0   0.000000e+00   0.000000
82   -2.50  -2.25    30.0    35.0   8.264462e-03   0.002117
83   -2.50  -2.25    35.0    40.0   1.474926e-02   0.003773
84   -2.50  -2.25    40.0    50.0   1.600753e-02   0.003202
85   -2.50  -2.25    50.0    70.0   1.967494e-02   0.003517
86   -2.50  -2.25    70.0   100.0   2.676399e-02   0.005089
87   -2.50  -2.25   100.0   150.0   3.694268e-02   0.006276
88   -2.50  -2.25   150.0   200.0   7.033639e-02   0.009663
89   -2.50  -2.25   200.0   300.0   9.871668e-02   0.009157
90   -2.50  -2.25   300.0   500.0   1.344486e-01   0.008356
91   -2.25  -2.00    10.0    15.0   0.000000e+00   0.000000
92   -2.25  -2.00    15.0    20.0   0.000000e+00   0.000000
93   -2.25  -2.00    20.0    25.0   0.000000e+00   0.000000
94   -2.25  -2.00    25.0    30.0   0.000000e+00   0.000000
95   -2.25  -2.00    30.0    35.0   1.648352e-02   0.005584
96   -2.25  -2.00    35.0    40.0   1.902174e-02   0.006129
97   -2.25  -2.00    40.0    50.0   1.095462e-02   0.003044
98   -2.25  -2.00    50.0    70.0   1.094092e-02   0.002542
99   -2.25  -2.00    70.0   100.0   1.272984e-02   0.003294
100  -2.25  -2.00   100.0   150.0   1.222826e-02   0.003123
101  -2.25  -2.00   150.0   200.0   1.597444e-02   0.004164
102  -2.25  -2.00   200.0   300.0   2.222222e-02   0.003665
103  -2.25  -2.00   300.0   500.0   2.536367e-02   0.002728
104  -2.00  -1.75    10.0    15.0   0.000000e+00   0.000000
105  -2.00  -1.75    15.0    20.0   0.000000e+00   0.000000
106  -2.00  -1.75    20.0    25.0   0.000000e+00   0.000000
107  -2.00  -1.75    25.0    30.0   0.000000e+00   0.000000
108  -2.00  -1.75    30.0    35.0   0.000000e+00   0.000000
109  -2.00  -1.75    35.0    40.0   0.000000e+00   0.000000
110  -2.00  -1.75    40.0    50.0   0.000000e+00   0.000000
111  -2.00  -1.75    50.0    70.0   0.000000e+00   0.000000
112  -2.00  -1.75    70.0   100.0   0.000000e+00   0.000000
113  -2.00  -1.75   100.0   150.0   0.000000e+00   0.000000
114  -2.00  -1.75   150.0   200.0   0.000000e+00   0.000000
115  -2.00  -1.75   200.0   300.0   0.000000e+00   0.000000
116  -2.00  -1.75   300.0   500.0   0.000000e+00   0.000000
117  -1.75  -1.50    10.0    15.0   0.000000e+00   0.000000
118  -1.75  -1.50    15.0    20.0   0.000000e+00   0.000000
119  -1.75  -1.50    20.0    25.0   0.000000e+00   0.000000
120  -1.75  -1.50    25.0    30.0   0.000000e+00   0.000000
121  -1.75  -1.50    30.0    35.0   0.000000e+00   0.000000
122  -1.75  -1.50    35.0    40.0   0.000000e+00   0.000000
123  -1.75  -1.50    40.0    50.0   0.000000e+00   0.000000
124  -1.75  -1.50    50.0    70.0   0.000000e+00   0.000000
125  -1.75  -1.50    70.0   100.0   0.000000e+00   0.000000
126  -1.75  -1.50   100.0   150.0   0.000000e+00   0.000000
127  -1.75  -1.50   150.0   200.0   0.000000e+00   0.000000
128  -1.75  -1.50   200.0   300.0   0.000000e+00   0.000000
129  -1.75  -1.50   300.0   500.0   0.000000e+00   0.000000
130  -1.50  -1.25    10.0    15.0   0.000000e+00   0.000000
131  -1.50  -1.25    15.0    20.0   0.000000e+00   0.000000
132  -1.50  -1.25    20.0    25.0   0.000000e+00   0.000000
133  -1.50  -1.25    25.0    30.0   0.000000e+00   0.000000
134  -1.50  -1.25    30.0    35.0   0.000000e+00   0.000000
135  -1.50  -1.25    35.0    40.0   0.000000e+00   0.000000
136  -1.50  -1.25    40.0    50.0   0.000000e+00   0.000000
137  -1.50  -1.25    50.0    70.0   0.000000e+00   0.000000
138  -1.50  -1.25    70.0   100.0   0.000000e+00   0.000000
139  -1.50  -1.25   100.0   150.0   0.000000e+00   0.000000
140  -1.50  -1.25   150.0   200.0   0.000000e+00   0.000000
141  -1.50  -1.25   200.0   300.0   0.000000e+00   0.000000
142  -1.50  -1.25   300.0   500.0   0.000000e+00   0.000000
143  -1.25  -1.00    10.0    15.0   0.000000e+00   0.000000
144  -1.25  -1.00    15.0    20.0   0.000000e+00   0.000000
145  -1.25  -1.00    20.0    25.0   0.000000e+00   0.000000
146  -1.25  -1.00    25.0    30.0   0.000000e+00   0.000000
147  -1.25  -1.00    30.0    35.0   0.000000e+00   0.000000
148  -1.25  -1.00    35.0    40.0   0.000000e+00   0.000000
149  -1.25  -1.00    40.0    50.0   0.000000e+00   0.000000
150  -1.25  -1.00    50.0    70.0   0.000000e+00   0.000000
151  -1.25  -1.00    70.0   100.0   0.000000e+00   0.000000
152  -1.25  -1.00   100.0   150.0   0.000000e+00   0.000000
153  -1.25  -1.00   150.0   200.0   0.000000e+00   0.000000
154  -1.25  -1.00   200.0   300.0   0.000000e+00   0.000000
155  -1.25  -1.00   300.0   500.0   0.000000e+00   0.000000
156  -1.00  -0.75    10.0    15.0   0.000000e+00   0.000000
157  -1.00  -0.75    15.0    20.0   0.000000e+00   0.000000
158  -1.00  -0.75    20.0    25.0   0.000000e+00   0.000000
159  -1.00  -0.75    25.0    30.0   0.000000e+00   0.000000
160  -1.00  -0.75    30.0    35.0   0.000000e+00   0.000000
161  -1.00  -0.75    35.0    40.0   0.000000e+00   0.000000
162  -1.00  -0.75    40.0    50.0   0.000000e+00   0.000000
163  -1.00  -0.75    50.0    70.0   0.000000e+00   0.000000
164  -1.00  -0.75    70.0   100.0   0.000000e+00   0.000000
165  -1.00  -0.75   100.0   150.0   0.000000e+00   0.000000
166  -1.00  -0.75   150.0   200.0   0.000000e+00   0.000000
167  -1.00  -0.75   200.0   300.0   0.000000e+00   0.000000
168  -1.00  -0.75   300.0   500.0   0.000000e+00   0.000000
169  -0.75  -0.50    10.0    15.0   0.000000e+00   0.000000
170  -0.75  -0.50    15.0    20.0   0.000000e+00   0.000000
171  -0.75  -0.50    20.0    25.0   0.000000e+00   0.000000
172  -0.75  -0.50    25.0    30.0   0.000000e+00   0.000000
173  -0.75  -0.50    30.0    35.0   0.000000e+00   0.000000
174  -0.75  -0.50    35.0    40.0   0.000000e+00   0.000000
175  -0.75  -0.50    40.0    50.0   0.000000e+00   0.000000
176  -0.75  -0.50    50.0    70.0   0.000000e+00   0.000000
177  -0.75  -0.50    70.0   100.0   0.000000e+00   0.000000
178  -0.75  -0.50   100.0   150.0   0.000000e+00   0.000000
179  -0.75  -0.50   150.0   200.0   0.000000e+00   0.000000
180  -0.75  -0.50   200.0   300.0   0.000000e+00   0.000000
181  -0.75  -0.50   300.0   500.0   0.000000e+00   0.000000
182  -0.50  -0.25    10.0    15.0   0.000000e+00   0.000000
183  -0.50  -0.25    15.0    20.0   0.000000e+00   0.000000
184  -0.50  -0.25    20.0    25.0   0.000000e+00   0.000000
185  -0.50  -0.25    25.0    30.0   0.000000e+00   0.000000
186  -0.50  -0.25    30.0    35.0   0.000000e+00   0.000000
187  -0.50  -0.25    35.0    40.0   0.000000e+00   0.000000
188  -0.50  -0.25    40.0    50.0   0.000000e+00   0.000000
189  -0.50  -0.25    50.0    70.0   0.000000e+00   0.000000
190  -0.50  -0.25    70.0   100.0   0.000000e+00   0.000000
191  -0.50  -0.25   100.0   150.0   0.000000e+00   0.000000
192  -0.50  -0.25   150.0   200.0   0.000000e+00   0.000000
193  -0.50  -0.25   200.0   300.0   0.000000e+00   0.000000
194  -0.50  -0.25   300.0   500.0   0.000000e+00   0.000000
195  -0.25   0.00    10.0    15.0   0.000000e+00   0.000000
196  -0.25   0.00    15.0    20.0   0.000000e+00   0.000000
197  -0.25   0.00    20.0    25.0   0.000000e+00   0.000000
198  -0.25   0.00    25.0    30.0   0.000000e+00   0.000000
199  -0.25   0.00    30.0    35.0   0.000000e+00   0.000000
200  -0.25   0.00    35.0    40.0   0.000000e+00   0.000000
201  -0.25   0.00    40.0    50.0   0.000000e+00   0.000000
202  -0.25   0.00    50.0    70.0   0.000000e+00   0.000000
203  -0.25   0.00    70.0   100.0   0.000000e+00   0.000000
204  -0.25   0.00   100.0   150.0   0.000000e+00   0.000000
205  -0.25   0.00   150.0   200.0   0.000000e+00   0.000000
206  -0.25   0.00   200.0   300.0   0.000000e+00   0.000000
207  -0.25   0.00   300.0   500.0   0.000000e+00   0.000000
208   0.00   0.25    10.0    15.0   0.000000e+00   0.000000
209   0.00   0.25    15.0    20.0   0.000000e+00   0.000000
210   0.00   0.25    20.0    25.0   0.000000e+00   0.000000
211   0.00   0.25    25.0    30.0   0.000000e+00   0.000000
212   0.00   0.25    30.0    35.0   0.000000e+00   0.000000
213   0.00   0.25    35.0    40.0   0.000000e+00   0.000000
214   0.00   0.25    40.0    50.0   0.000000e+00   0.000000
215   0.00   0.25    50.0    70.0   0.000000e+00   0.000000
216   0.00   0.25    70.0   100.0   0.000000e+00   0.000000
217   0.00   0.25   100.0   150.0   0.000000e+00   0.000000
218   0.00   0.25   150.0   200.0   0.000000e+00   0.000000
219   0.00   0.25   200.0   300.0   0.000000e+00   0.000000
220   0.00   0.25   300.0   500.0   0.000000e+00   0.000000
221   0.25   0.50    10.0    15.0   0.000000e+00   0.000000
222   0.25   0.50    15.0    20.0   0.000000e+00   0.000000
