eta_low eta_high pt_low pt_high       correction           unc_up         unc_down
-2.500   -2.000   10.0    20.0 8.6347520351e-01 1.4050706646e-02 1.4050706646e-02
-2.000   -1.566   10.0    20.0 8.7500000000e-01 1.6847054616e-02 1.6847054616e-02
-1.566   -1.444   10.0    20.0 1.0433734655e+00 1.2881738667e-01 1.2881738667e-01
-1.444   -0.800   10.0    20.0 9.7925925255e-01 9.5361786033e-03 9.5361786033e-03
-0.800    0.000   10.0    20.0 9.6728974581e-01 1.9852901744e-02 1.9852901744e-02
 0.000    0.800   10.0    20.0 9.4801223278e-01 1.9852901744e-02 1.9852901744e-02
 0.800    1.444   10.0    20.0 9.9255955219e-01 9.5361786033e-03 9.5361786033e-03
 1.444    1.566   10.0    20.0 1.0501192808e+00 1.2881738667e-01 1.2881738667e-01
 1.566    2.000   10.0    20.0 8.8273614645e-01 1.6847054616e-02 1.6847054616e-02
 2.000    2.500   10.0    20.0 8.7414968014e-01 1.4050706646e-02 1.4050706646e-02
-2.500   -2.000   20.0    35.0 9.5213454962e-01 6.7102293549e-03 6.7102293549e-03
-2.000   -1.566   20.0    35.0 9.7177916765e-01 1.1202835837e-02 1.1202835837e-02
-1.566   -1.444   20.0    35.0 9.9836331606e-01 1.9609383660e-01 1.9609383660e-01
-1.444   -0.800   20.0    35.0 9.7485029697e-01 1.3317022631e-02 1.3317022631e-02
-0.800    0.000   20.0    35.0 9.7136038542e-01 1.5046696024e-02 1.5046696024e-02
 0.000    0.800   20.0    35.0 9.7268408537e-01 1.5046696024e-02 1.5046696024e-02
 0.800    1.444   20.0    35.0 9.7961628437e-01 1.3317022631e-02 1.3317022631e-02
 1.444    1.566   20.0    35.0 9.9016392231e-01 1.9609383660e-01 1.9609383660e-01
 1.566    2.000   20.0    35.0 9.5797282457e-01 1.1202835837e-02 1.1202835837e-02
 2.000    2.500   20.0    35.0 9.3164557219e-01 6.7102293549e-03 6.7102293549e-03
-2.500   -2.000   35.0    50.0 9.8604649305e-01 6.3882943998e-03 6.3882943998e-03
-2.000   -1.566   35.0    50.0 9.9552071095e-01 4.6068219281e-03 4.6068219281e-03
-1.566   -1.444   35.0    50.0 9.9749374390e-01 5.3764532919e-03 5.3764532919e-03
-1.444   -0.800   35.0    50.0 9.8258978128e-01 2.3070368065e-03 2.3070368065e-03
-0.800    0.000   35.0    50.0 9.7619044781e-01 2.0236113503e-03 2.0236113503e-03
 0.000    0.800   35.0    50.0 9.8054051399e-01 2.0236113503e-03 2.0236113503e-03
 0.800    1.444   35.0    50.0 9.8260867596e-01 2.3070368065e-03 2.3070368065e-03
 1.444    1.566   35.0    50.0 9.8503738642e-01 5.3764532919e-03 5.3764532919e-03
 1.566    2.000   35.0    50.0 9.8773688078e-01 4.6068219281e-03 4.6068219281e-03
 2.000    2.500   35.0    50.0 9.7238206863e-01 6.3882943998e-03 6.3882943998e-03
