source,eta_low,eta_high,pt,corr_up,corr_down
AbsoluteStat,-5.4,-5.0,"[9.0, 11.0, 13.5, 16.5, 19.5, 22.5, 26.0, 30.0, 34.5, 40.0, 46.0, 52.5, 60.0, 69.0, 79.0, 90.5, 105.5, 123.5, 143.0, 163.5, 185.0, 208.0, 232.5, 258.5, 286.0, 331.0, 396.0, 468.5, 549.5, 639.0, 738.0, 847.5, 968.5, 1102.0, 1249.5, 1412.0, 1590.5, 1787.0, 2003.0, 2241.0, 2503.0, 2790.5, 3107.0, 3455.0, 3837.0, 4257.0, 4719.0, 5226.5, 5784.0, 6538.0]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]"
AbsoluteStat,-5.0,-4.4,"[9.0, 11.0, 13.5, 16.5, 19.5, 22.5, 26.0, 30.0, 34.5, 40.0, 46.0, 52.5, 60.0, 69.0, 79.0, 90.5, 105.5, 123.5, 143.0, 163.5, 185.0, 208.0, 232.5, 258.5, 286.0, 331.0, 396.0, 468.5, 549.5, 639.0, 738.0, 847.5, 968.5, 1102.0, 1249.5, 1412.0, 1590.5, 1787.0, 2003.0, 2241.0, 2503.0, 2790.5, 3107.0, 3455.0, 3837.0, 4257.0, 4719.0, 5226.5, 5784.0, 6538.0]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]"
AbsoluteStat,-4.4,-4.0,"[9.0, 11.0, 13.5, 16.5, 19.5, 22.5, 26.0, 30.0, 34.5, 40.0, 46.0, 52.5, 60.0, 69.0, 79.0, 90.5, 105.5, 123.5, 143.0, 163.5, 185.0, 208.0, 232.5, 258.5, 286.0, 331.0, 396.0, 468.5, 549.5, 639.0, 738.0, 847.5, 968.5, 1102.0, 1249.5, 1412.0, 1590.5, 1787.0, 2003.0, 2241.0, 2503.0, 2790.5, 3107.0, 3455.0, 3837.0, 4257.0, 4719.0, 5226.5, 5784.0, 6538.0]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]"
AbsoluteStat,-4.0,-3.5,"[9.0, 11.0, 13.5, 16.5, 19.5, 22.5, 26.0, 30.0, 34.5, 40.0, 46.0, 52.5, 60.0, 69.0, 79.0, 90.5, 105.5, 123.5, 143.0, 163.5, 185.0, 208.0, 232.5, 258.5, 286.0, 331.0, 396.0, 468.5, 549.5, 639.0, 738.0, 847.5, 968.5, 1102.0, 1249.5, 1412.0, 1590.5, 1787.0, 2003.0, 2241.0, 2503.0, 2790.5, 3107.0, 3455.0, 3837.0, 4257.0, 4719.0, 5226.5, 5784.0, 6538.0]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]"
AbsoluteStat,-3.5,-3.0,"[9.0, 11.0, 13.5, 16.5, 19.5, 22.5, 26.0, 30.0, 34.5, 40.0, 46.0, 52.5, 60.0, 69.0, 79.0, 90.5, 105.5, 123.5, 143.0, 163.5, 185.0, 208.0, 232.5, 258.5, 286.0, 331.0, 396.0, 468.5, 549.5, 639.0, 738.0, 847.5, 968.5, 1102.0, 1249.5, 1412.0, 1590.5, 1787.0, 2003.0, 2241.0, 2503.0, 2790.5, 3107.0, 3455.0, 3837.0, 4257.0, 4719.0, 5226.5, 5784.0, 6538.0]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]"
AbsoluteStat,-3.0,-2.8,"[9.0, 11.0, 13.5, 16.5, 19.5, 22.5, 26.0, 30.0, 34.5, 40.0, 46.0, 52.5, 60.0, 69.0, 79.0, 90.5, 105.5, 123.5, 143.0, 163.5, 185.0, 208.0, 232.5, 258.5, 286.0, 331.0, 396.0, 468.5, 549.5, 639.0, 738.0, 847.5, 968.5, 1102.0, 1249.5, 1412.0, 1590.5, 1787.0, 2003.0, 2241.0, 2503.0, 2790.5, 3107.0, 3455.0, 3837.0, 4257.0, 4719.0, 5226.5, 5784.0, 6538.0]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]"
AbsoluteStat,-2.8,-2.6,"[9.0, 11.0, 13.5, 16.5, 19.5, 22.5, 26.0, 30.0, 34.5, 40.0, 46.0, 52.5, 60.0, 69.0, 79.0, 90.5, 105.5, 123.5, 143.0, 163.5, 185.0, 208.0, 232.5, 258.5, 286.0, 331.0, 396.0, 468.5, 549.5, 639.0, 738.0, 847.5, 968.5, 1102.0, 1249.5, 1412.0, 1590.5, 1787.0, 2003.0, 2241.0, 2503.0, 2790.5, 3107.0, 3455.0, 3837.0, 4257.0, 4719.0, 5226.5, 5784.0, 6538.0]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]"
AbsoluteStat,-2.6,-2.4,"[9.0, 11.0, 13.5, 16.5, 19.5, 22.5, 26.0, 30.0, 34.5, 40.0, 46.0, 52.5, 60.0, 69.0, 79.0, 90.5, 105.5, 123.5, 143.0, 163.5, 185.0, 208.0, 232.5, 258.5, 286.0, 331.0, 396.0, 468.5, 549.5, 639.0, 738.0, 847.5, 968.5, 1102.0, 1249.5, 1412.0, 1590.5, 1787.0, 2003.0, 2241.0, 2503.0, 2790.5, 3107.0, 3455.0, 3837.0, 4257.0, 4719.0, 5226.5, 5784.0, 6538.0]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]"
AbsoluteStat,-2.4,-2.2,"[9.0, 11.0, 13.5, 16.5, 19.5, 22.5, 26.0, 30.0, 34.5, 40.0, 46.0, 52.5, 60.0, 69.0, 79.0, 90.5, 105.5, 123.5, 143.0, 163.5, 185.0, 208.0, 232.5, 258.5, 286.0, 331.0, 396.0, 468.5, 549.5, 639.0, 738.0, 847.5, 968.5, 1102.0, 1249.5, 1412.0, 1590.5, 1787.0, 2003.0, 2241.0, 2503.0, 2790.5, 3107.0, 3455.0, 3837.0, 4257.0, 4719.0, 5226.5, 5784.0, 6538.0]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]"
AbsoluteStat,-2.2,-2.0,"[9.0, 11.0, 13.5, 16.5, 19.5, 22.5, 26.0, 30.0, 34.5, 40.0, 46.0, 52.5, 60.0, 69.0, 79.0, 90.5, 105.5, 123.5, 143.0, 163.5, 185.0, 208.0, 232.5, 258.5, 286.0, 331.0, 396.0, 468.5, 549.5, 639.0, 738.0, 847.5, 968.5, 1102.0, 1249.5, 1412.0, 1590.5, 1787.0, 2003.0, 2241.0, 2503.0, 2790.5, 3107.0, 3455.0, 3837.0, 4257.0, 4719.0, 5226.5, 5784.0, 6538.0]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]","[0.0041, 0.0037, 0.0033, 0.0029, 0.0026, 0.0024, 0.0021, 0.0018, 0.0016, 0.0013, 0.001, 0.0007, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0002, 0.0005, 0.0007, 0.0009, 0.0011, 0.0014, 0.0016, 0.0018, 0.002, 0.0021, 0.0023, 0.0024, 0.0025, 0.0027, 0.0028, 0.0029, 0.003, 0.0031, 0.0032, 0.0033, 0.0034, 0.0035, 0.0036, 0.0037, 0.0038, 0.0038, 0.0039, 0.004, 0.0041]"
