etasc_low  etasc_high  pt_low  pt_high  correction    unc_up  unc_down
   -2.500      -2.000    20.0     35.0    0.973225  0.003135  0.003135
   -2.500      -2.000    35.0     50.0    0.986928  0.009678  0.009678
   -2.500      -2.000    50.0     90.0    0.989213  0.013261  0.013261
   -2.500      -2.000    90.0    150.0    1.014161  0.025094  0.025094
   -2.500      -2.000   150.0    500.0    1.014161  0.025223  0.025223
   -2.000      -1.566    20.0     35.0    0.971864  0.004110  0.004110
   -2.000      -1.566    35.0     50.0    0.988987  0.007965  0.007965
   -2.000      -1.566    50.0     90.0    0.985777  0.011481  0.011481
   -2.000      -1.566    90.0    150.0    1.006689  0.022811  0.022811
   -2.000      -1.566   150.0    500.0    1.006689  0.022952  0.022952
   -1.566      -1.444    20.0     35.0    1.000000  0.000000  0.000000
   -1.566      -1.444    35.0     50.0    1.000000  0.000000  0.000000
   -1.566      -1.444    50.0     90.0    1.000000  0.000000  0.000000
   -1.566      -1.444    90.0    150.0    1.000000  0.000000  0.000000
   -1.566      -1.444   150.0    500.0    1.000000  0.000003  0.000003
   -1.444      -0.800    20.0     35.0    0.986063  0.005759  0.005759
   -1.444      -0.800    35.0     50.0    0.988030  0.008744  0.008744
   -1.444      -0.800    50.0     90.0    0.980413  0.009533  0.009533
   -1.444      -0.800    90.0    150.0    1.020179  0.007394  0.007394
   -1.444      -0.800   150.0    500.0    1.020179  0.007819  0.007819
   -0.800       0.000    20.0     35.0    0.980700  0.009612  0.009612
   -0.800       0.000    35.0     50.0    0.980111  0.010544  0.010544
   -0.800       0.000    50.0     90.0    0.972467  0.007089  0.007089
   -0.800       0.000    90.0    150.0    1.003397  0.018565  0.018565
   -0.800       0.000   150.0    500.0    1.003397  0.018738  0.018738
    0.000       0.800    20.0     35.0    0.983112  0.009612  0.009612
    0.000       0.800    35.0     50.0    0.985588  0.010544  0.010544
    0.000       0.800    50.0     90.0    0.978982  0.007089  0.007089
    0.000       0.800    90.0    150.0    1.014790  0.018565  0.018565
    0.000       0.800   150.0    500.0    1.014790  0.018738  0.018738
    0.800       1.444    20.0     35.0    0.987179  0.005759  0.005759
    0.800       1.444    35.0     50.0    0.986928  0.008744  0.008744
    0.800       1.444    50.0     90.0    0.984716  0.009533  0.009533
    0.800       1.444    90.0    150.0    1.019058  0.007394  0.007394
    0.800       1.444   150.0    500.0    1.019058  0.007819  0.007819
    1.444       1.566    20.0     35.0    1.000000  0.000000  0.000000
    1.444       1.566    35.0     50.0    1.000000  0.000000  0.000000
    1.444       1.566    50.0     90.0    1.000000  0.000000  0.000000
    1.444       1.566    90.0    150.0    1.000000  0.000000  0.000000
    1.444       1.566   150.0    500.0    1.000000  0.000003  0.000003
    1.566       2.000    20.0     35.0    0.977647  0.004110  0.004110
    1.566       2.000    35.0     50.0    0.991180  0.007965  0.007965
    1.566       2.000    50.0     90.0    0.990121  0.011481  0.011481
    1.566       2.000    90.0    150.0    1.014525  0.022811  0.022811
    1.566       2.000   150.0    500.0    1.014525  0.022952  0.022952
    2.000       2.500    20.0     35.0    0.970896  0.003135  0.003135
    2.000       2.500    35.0     50.0    0.992333  0.009678  0.009678
    2.000       2.500    50.0     90.0    0.994577  0.013292  0.013292
    2.000       2.500    90.0    150.0    1.024336  0.025115  0.025115
    2.000       2.500   150.0    500.0    1.024336  0.025244  0.025244
