      xlow   xupp    ylow    yupp       content      error
0    -5.00  -4.00    20.0    25.0  0.000000e+00   0.000000
1    -5.00  -4.00    25.0    30.0  0.000000e+00   0.000000
2    -5.00  -4.00    30.0    35.0  0.000000e+00   0.000000
3    -5.00  -4.00    35.0    40.0  0.000000e+00   0.000000
4    -5.00  -4.00    40.0    50.0  0.000000e+00   0.000000
5    -5.00  -4.00    50.0    70.0  0.000000e+00   0.000000
6    -5.00  -4.00    70.0   100.0  0.000000e+00   0.000000
7    -5.00  -4.00   100.0   200.0  0.000000e+00   0.000000
8    -5.00  -4.00   200.0   500.0  0.000000e+00   0.000000
9    -4.00  -3.50    20.0    25.0  0.000000e+00   0.000000
10   -4.00  -3.50    25.0    30.0  0.000000e+00   0.000000
11   -4.00  -3.50    30.0    35.0  0.000000e+00   0.000000
12   -4.00  -3.50    35.0    40.0  0.000000e+00   0.000000
13   -4.00  -3.50    40.0    50.0  0.000000e+00   0.000000
14   -4.00  -3.50    50.0    70.0  0.000000e+00   0.000000
15   -4.00  -3.50    70.0   100.0  0.000000e+00   0.000000
16   -4.00  -3.50   100.0   200.0  0.000000e+00   0.000000
17   -4.00  -3.50   200.0   500.0  0.000000e+00   0.000000
18   -3.50  -3.10    20.0    25.0  0.000000e+00   0.000000
19   -3.50  -3.10    25.0    30.0  0.000000e+00   0.000000
20   -3.50  -3.10    30.0    35.0  0.000000e+00   0.000000
21   -3.50  -3.10    35.0    40.0  0.000000e+00   0.000000
22   -3.50  -3.10    40.0    50.0  0.000000e+00   0.000000
23   -3.50  -3.10    50.0    70.0  0.000000e+00   0.000000
24   -3.50  -3.10    70.0   100.0  0.000000e+00   0.000000
25   -3.50  -3.10   100.0   200.0  0.000000e+00   0.000000
26   -3.50  -3.10   200.0   500.0  0.000000e+00   0.000000
27   -3.10  -3.00    20.0    25.0  0.000000e+00   0.000000
28   -3.10  -3.00    25.0    30.0  0.000000e+00   0.000000
29   -3.10  -3.00    30.0    35.0  0.000000e+00   0.000000
30   -3.10  -3.00    35.0    40.0  0.000000e+00   0.000000
31   -3.10  -3.00    40.0    50.0  0.000000e+00   0.000000
32   -3.10  -3.00    50.0    70.0  0.000000e+00   0.000000
33   -3.10  -3.00    70.0   100.0  0.000000e+00   0.000000
34   -3.10  -3.00   100.0   200.0  0.000000e+00   0.000000
35   -3.10  -3.00   200.0   500.0  0.000000e+00   0.000000
36   -3.00  -2.75    20.0    25.0  1.153846e-02   0.004998
37   -3.00  -2.75    25.0    30.0  3.278688e-02   0.012150
38   -3.00  -2.75    30.0    35.0  1.324503e-02   0.007359
39   -3.00  -2.75    35.0    40.0  2.185792e-02   0.009517
40   -3.00  -2.75    40.0    50.0  9.689923e-02   0.017985
41   -3.00  -2.75    50.0    70.0  1.536145e-01   0.019522
42   -3.00  -2.75    70.0   100.0  3.575419e-01   0.035710
43   -3.00  -2.75   100.0   200.0  6.550000e-01   0.033727
44   -3.00  -2.75   200.0   500.0  7.349398e-01   0.048734
45   -2.75  -2.50    20.0    25.0  9.900990e-03   0.004012
46   -2.75  -2.50    25.0    30.0  2.013423e-02   0.007072
47   -2.75  -2.50    30.0    35.0  3.010033e-02   0.009047
48   -2.75  -2.50    35.0    40.0  4.388715e-02   0.010824
49   -2.75  -2.50    40.0    50.0  6.345733e-02   0.010974
50   -2.75  -2.50    50.0    70.0  1.890661e-01   0.018496
51   -2.75  -2.50    70.0   100.0  2.510288e-01   0.027629
52   -2.75  -2.50   100.0   200.0  4.532967e-01   0.026067
53   -2.75  -2.50   200.0   500.0  5.686275e-01   0.040094
54   -2.50  -2.25    20.0    25.0  1.597444e-02   0.005889
55   -2.50  -2.25    25.0    30.0  3.426791e-02   0.009408
56   -2.50  -2.25    30.0    35.0  4.187192e-02   0.009352
57   -2.50  -2.25    35.0    40.0  5.842697e-02   0.010660
58   -2.50  -2.25    40.0    50.0  6.545454e-02   0.010162
59   -2.50  -2.25    50.0    70.0  9.375000e-02   0.014512
60   -2.50  -2.25    70.0   100.0  7.826087e-02   0.017181
61   -2.50  -2.25   100.0   200.0  1.569149e-01   0.018511
62   -2.50  -2.25   200.0   500.0  1.744681e-01   0.024473
63   -2.25  -2.00    20.0    25.0  9.404388e-03   0.003708
64   -2.25  -2.00    25.0    30.0  1.000000e-06   0.003692
65   -2.25  -2.00    30.0    35.0  9.523810e-03   0.003274
66   -2.25  -2.00    35.0    40.0  1.556420e-02   0.004510
67   -2.25  -2.00    40.0    50.0  1.106501e-02   0.002888
68   -2.25  -2.00    50.0    70.0  1.173709e-02   0.003963
69   -2.25  -2.00    70.0   100.0  2.573529e-02   0.008640
70   -2.25  -2.00   100.0   200.0  2.325581e-02   0.005456
71   -2.25  -2.00   200.0   500.0  3.879310e-02   0.008389
72   -2.00  -1.75    20.0    25.0  0.000000e+00   0.000000
73   -2.00  -1.75    25.0    30.0  0.000000e+00   0.000000
74   -2.00  -1.75    30.0    35.0  0.000000e+00   0.000000
75   -2.00  -1.75    35.0    40.0  0.000000e+00   0.000000
76   -2.00  -1.75    40.0    50.0  0.000000e+00   0.000000
77   -2.00  -1.75    50.0    70.0  0.000000e+00   0.000000
78   -2.00  -1.75    70.0   100.0  0.000000e+00   0.000000
79   -2.00  -1.75   100.0   200.0  0.000000e+00   0.000000
80   -2.00  -1.75   200.0   500.0  0.000000e+00   0.000000
81   -1.75  -1.50    20.0    25.0  0.000000e+00   0.000000
82   -1.75  -1.50    25.0    30.0  0.000000e+00   0.000000
83   -1.75  -1.50    30.0    35.0  0.000000e+00   0.000000
84   -1.75  -1.50    35.0    40.0  0.000000e+00   0.000000
85   -1.75  -1.50    40.0    50.0  0.000000e+00   0.000000
86   -1.75  -1.50    50.0    70.0  0.000000e+00   0.000000
87   -1.75  -1.50    70.0   100.0  0.000000e+00   0.000000
88   -1.75  -1.50   100.0   200.0  0.000000e+00   0.000000
89   -1.75  -1.50   200.0   500.0  0.000000e+00   0.000000
90   -1.50  -1.25    20.0    25.0  0.000000e+00   0.000000
91   -1.50  -1.25    25.0    30.0  0.000000e+00   0.000000
92   -1.50  -1.25    30.0    35.0  0.000000e+00   0.000000
93   -1.50  -1.25    35.0    40.0  0.000000e+00   0.000000
94   -1.50  -1.25    40.0    50.0  0.000000e+00   0.000000
95   -1.50  -1.25    50.0    70.0  0.000000e+00   0.000000
96   -1.50  -1.25    70.0   100.0  0.000000e+00   0.000000
97   -1.50  -1.25   100.0   200.0  0.000000e+00   0.000000
98   -1.50  -1.25   200.0   500.0  0.000000e+00   0.000000
99   -1.25  -1.00    20.0    25.0  0.000000e+00   0.000000
100  -1.25  -1.00    25.0    30.0  0.000000e+00   0.000000
101  -1.25  -1.00    30.0    35.0  0.000000e+00   0.000000
102  -1.25  -1.00    35.0    40.0  0.000000e+00   0.000000
103  -1.25  -1.00    40.0    50.0  0.000000e+00   0.000000
104  -1.25  -1.00    50.0    70.0  0.000000e+00   0.000000
105  -1.25  -1.00    70.0   100.0  0.000000e+00   0.000000
106  -1.25  -1.00   100.0   200.0  0.000000e+00   0.000000
107  -1.25  -1.00   200.0   500.0  0.000000e+00   0.000000
108  -1.00  -0.75    20.0    25.0  0.000000e+00   0.000000
109  -1.00  -0.75    25.0    30.0  0.000000e+00   0.000000
110  -1.00  -0.75    30.0    35.0  0.000000e+00   0.000000
111  -1.00  -0.75    35.0    40.0  0.000000e+00   0.000000
112  -1.00  -0.75    40.0    50.0  0.000000e+00   0.000000
113  -1.00  -0.75    50.0    70.0  0.000000e+00   0.000000
114  -1.00  -0.75    70.0   100.0  0.000000e+00   0.000000
115  -1.00  -0.75   100.0   200.0  0.000000e+00   0.000000
116  -1.00  -0.75   200.0   500.0  0.000000e+00   0.000000
117  -0.75  -0.50    20.0    25.0  0.000000e+00   0.000000
118  -0.75  -0.50    25.0    30.0  0.000000e+00   0.000000
119  -0.75  -0.50    30.0    35.0  0.000000e+00   0.000000
120  -0.75  -0.50    35.0    40.0  0.000000e+00   0.000000
121  -0.75  -0.50    40.0    50.0  0.000000e+00   0.000000
122  -0.75  -0.50    50.0    70.0  0.000000e+00   0.000000
123  -0.75  -0.50    70.0   100.0  0.000000e+00   0.000000
124  -0.75  -0.50   100.0   200.0  0.000000e+00   0.000000
125  -0.75  -0.50   200.0   500.0  0.000000e+00   0.000000
126  -0.50  -0.25    20.0    25.0  0.000000e+00   0.000000
127  -0.50  -0.25    25.0    30.0  0.000000e+00   0.000000
128  -0.50  -0.25    30.0    35.0  0.000000e+00   0.000000
129  -0.50  -0.25    35.0    40.0  0.000000e+00   0.000000
130  -0.50  -0.25    40.0    50.0  0.000000e+00   0.000000
131  -0.50  -0.25    50.0    70.0  0.000000e+00   0.000000
132  -0.50  -0.25    70.0   100.0  0.000000e+00   0.000000
133  -0.50  -0.25   100.0   200.0  0.000000e+00   0.000000
134  -0.50  -0.25   200.0   500.0  0.000000e+00   0.000000
135  -0.25   0.00    20.0    25.0  0.000000e+00   0.000000
136  -0.25   0.00    25.0    30.0  0.000000e+00   0.000000
137  -0.25   0.00    30.0    35.0  0.000000e+00   0.000000
